,County,State,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14
302,Prowers County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
303,Pueblo County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22.0,48.0,72.0,108.0,134.0
304,Rio Blanco County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
305,Rio Grande County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,7.0,7.0
306,Routt County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,23.0,32.0,43.0,52.0,54.0
307,Saguache County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
308,San Juan County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,San Miguel County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,12.0,17.0,19.0
310,Sedgwick County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Summit County,CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,26.0,57.0,77.0,89.0,106.0
312,Teller County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,12.0,17.0,25.0,27.0
313,Washington County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,6.0
314,Weld County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,107.0,329.0,614.0,960.0,1263.0,1544.0
315,Yuma County,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0
317,Fairfield County,CT,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.0,607.0,2132.0,4882.0,6816.0,10008.0,10763.0
318,Hartford County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,138.0,539.0,1471.0,2859.0,4303.0,5157.0
319,Litchfield County,CT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,44.0,141.0,315.0,535.0,751.0,892.0
320,Middlesex County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,74.0,205.0,394.0,545.0,609.0
321,New Haven County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,156.0,647.0,2183.0,4163.0,6064.0,6993.0
322,New London County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,139.0,255.0,419.0,516.0
323,Tolland County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,67.0,145.0,241.0,359.0,419.0
324,Windham County,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,21.0,52.0,87.0,129.0,164.0
326,Kent County,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,43.0,214.0,352.0,539.0,652.0
327,New Castle County,DE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,79.0,245.0,701.0,1003.0,1389.0,1629.0
328,Sussex County,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,105.0,294.0,698.0,1377.0,1870.0
329,Washington,DC,0.0,0.0,0.0,0.0,0.0,0.0,10.0,71.0,267.0,653.0,1523.0,2350.0,3361.0,3892.0
331,Alachua County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,53.0,95.0,154.0,200.0,231.0,254.0
332,Baker County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11.0,16.0,17.0,19.0,20.0
333,Bay County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,15.0,34.0,42.0,60.0,68.0
334,Bradford County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,20.0,39.0,42.0,44.0
335,Brevard County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,49.0,111.0,192.0,235.0,266.0
336,Broward County,FL,0.0,0.0,0.0,0.0,0.0,0.0,11.0,96.0,505.0,1481.0,2480.0,3466.0,4431.0,4794.0
337,Calhoun County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,6.0,6.0
338,Charlotte County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,81.0,127.0,178.0,211.0
339,Citrus County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,27.0,58.0,80.0,94.0,97.0
340,Clay County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,58.0,110.0,184.0,264.0,271.0
341,Collier County,FL,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,67.0,178.0,303.0,416.0,507.0,562.0
342,Columbia County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,18.0,35.0,46.0,53.0
343,DeSoto County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,20.0,22.0,24.0,25.0
344,Dixie County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0
345,Duval County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,60.0,286.0,595.0,776.0,955.0,990.0
346,Escambia County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,101.0,192.0,277.0,420.0,470.0
347,Flagler County,FL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,25.0,41.0,50.0,106.0,127.0
348,Franklin County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
349,Gadsden County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,44.0,69.0,87.0
350,Gilchrist County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0
351,Glades County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,6.0
352,Gulf County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
353,Hamilton County,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0
